SAMPLE_ID	AGE	d13C	d18O	LITHIUM	MAGNESIUM	CALCIUM	MANGANESE	COBALT	COPPER	ZINC	STRONTIUM	BARIUM	AREA	BAY	STATION	DATE	MONTH	YEAR	DEPTH_SHALLOW	DEPTH_DEEP	TEMPERATURE	DO	SALINITY	TURBIDITY	DEPTH_SHALLOW_END	DEPTH_DEEP_END	TEMP_END	DO_END	SALINITY_END	TURBIDITY_END
Cleu_Dic051	0	-7.61	1.41	5.8026632	24107.67946	0.006694829	100.192528	0.221522275	3.136199435	26.7726035	1593.837895	40.05284249	2	330	55	10/5/2015	oct	2015	0.40	1.20	24.90	9.00	13.10	12.00	0.60	1.30	23.40	6.10	14.70	9.00
Cleu_Dic052	0	-10.3	-1.37	17.9541169	20807.86378	0.005499825	70.92578476	0.169672503	15.56372306	37.74703632	2463.576648	22.28944607	2	330	55	10/5/2015	oct	2015	0.40	1.20	24.90	9.00	13.10	12.00	0.60	1.30	23.40	6.10	14.70	9.00
Cleu_Dic053	0	-9.67	0.1	5.846650948	18551.18882	0.009935287	72.46409676	0.647807919	3.184416051	27.19661178	1218.454037	27.10889621	2	330	55	10/5/2015	oct	2015	0.40	1.20	24.90	9.00	13.10	12.00	0.60	1.30	23.40	6.10	14.70	9.00
Cleu_Dic054	0	-11.63	-1.09	3.259783231	23488.9063	0.008227889	22.44076467	0.145665369	3.491377509	46.9499042	887.2872374	22.84682525	2	330	55	10/5/2015	oct	2015	0.40	1.20	24.90	9.00	13.10	12.00	0.60	1.30	23.40	6.10	14.70	9.00
Cleu_Dic055	0	-5.38	1.34	15.55581431	22142.38201	0.008244638	78.62143056	0.352077967	2.525985488	32.97994733	2549.910067	22.45453492	2	50	681	9/28/2015	sept	2015												
Cleu_Dic056	0												2	330	164	9/15/2015	sept	2015	0.30	1.50	28.40	8.30	5.40	14.00	0.30	1.40	27.20	5.70	7.80	13.00
Cleu_Dic057	0												2	330	164	9/15/2015	sept	2015	0.30	1.50	28.40	8.30	5.40	14.00	0.30	1.40	27.20	5.70	7.80	13.00
Cleu_Dic058	3												2	50	691	10/13/2015	oct	2015	0.40	1.30	29.70	5.60	23.60	15.00	0.40	1.20	27.30	4.60	23.80	4.00
Cleu_Dic062	0	-6.94	0.34	9.705928966	20769.99855	0.012986181	89.36305671	0.11559075	4.100673044	17.30932245	1812.361357	15.51916883	2																	
Cleu_Dic063	1	-4.69	0.45										2																	
Cleu_Dic064	0	-7.09	-0.69										2																	
